Date,Adj Close,Close,High,Low,Open,Volume,Symbol
2010-01-04 00:00:00+00:00,129.7631378,142.8500061,144.8000031,140.0500031,140.5,1042676,INDUSINDBK
2010-01-05 00:00:00+00:00,129.6268616,142.6999969,144.75,141.75,144.6999969,551413,INDUSINDBK
2010-01-06 00:00:00+00:00,132.7154083,146.1000061,147,142.3000031,143.8999939,995851,INDUSINDBK
2010-01-07 00:00:00+00:00,129.7177277,142.8000031,147,142,146,580803,INDUSINDBK
2010-01-08 00:00:00+00:00,129.2635193,142.3000031,144.9499969,141.8000031,143.1999969,382686,INDUSINDBK
2010-01-11 00:00:00+00:00,129.4451904,142.5,143.6999969,141.0500031,143.0500031,579567,INDUSINDBK
2010-01-12 00:00:00+00:00,127.1288071,139.9499969,143.8999939,139,143.8999939,309096,INDUSINDBK
2010-01-13 00:00:00+00:00,124.6307297,137.1999969,142,135.9499969,139,568627,INDUSINDBK
2010-01-14 00:00:00+00:00,124.9941025,137.6000061,140.8500061,136.6999969,138.5,517203,INDUSINDBK
2010-01-15 00:00:00+00:00,128.7639313,141.75,144.3500061,139.3999939,139.3999939,1864430,INDUSINDBK
2010-01-18 00:00:00+00:00,129.6268616,142.6999969,144.6499939,139.8999939,141.5,691462,INDUSINDBK
2010-01-19 00:00:00+00:00,134.44133,148,149.6999969,143,144.8999939,1543371,INDUSINDBK
2010-01-20 00:00:00+00:00,137.9840393,151.8999939,154.6999969,149.5,150.1000061,2238831,INDUSINDBK
2010-01-21 00:00:00+00:00,133.7145996,147.1999969,155.9499969,145,152,1115507,INDUSINDBK
2010-01-22 00:00:00+00:00,136.8031311,150.6000061,152,142,145,762809,INDUSINDBK
2010-01-25 00:00:00+00:00,131.5799255,144.8500061,152,142.6000061,151,660970,INDUSINDBK
2010-01-27 00:00:00+00:00,127.3105011,140.1499939,143.8999939,136.75,143,1038743,INDUSINDBK
2010-01-28 00:00:00+00:00,132.2611694,145.6000061,147,140.5500031,142,793199,INDUSINDBK
2010-01-29 00:00:00+00:00,134.3505249,147.8999939,148.8999939,139.3000031,142,904441,INDUSINDBK
2010-02-01 00:00:00+00:00,134.9409485,148.5500031,149.8999939,145,147.6999969,417317,INDUSINDBK
2010-02-02 00:00:00+00:00,137.6661224,151.5500031,153.6499939,149.1000061,150,877414,INDUSINDBK
2010-02-03 00:00:00+00:00,141.9355164,156.25,159.6499939,152.5,152.5,2106019,INDUSINDBK
2010-02-04 00:00:00+00:00,140.845459,155.0500031,156.5,153.9499969,156.5,955491,INDUSINDBK
2010-02-05 00:00:00+00:00,132.7154083,146.1000061,152.8000031,143.3500061,150,898213,INDUSINDBK
2010-02-08 00:00:00+00:00,134.7592773,148.3500061,151.6999969,144,151.6999969,533258,INDUSINDBK
2010-02-09 00:00:00+00:00,137.1665039,151,152.8000031,145.75,147.8000031,751119,INDUSINDBK
2010-02-10 00:00:00+00:00,136.3943634,150.1499939,153,149.0500031,152,395238,INDUSINDBK
2010-02-11 00:00:00+00:00,136.1218872,149.8500061,151.8500061,149.1000061,151,205608,INDUSINDBK
2010-02-15 00:00:00+00:00,136.1218872,149.8500061,152,148.9499969,149.8500061,204309,INDUSINDBK
2010-02-16 00:00:00+00:00,137.2118988,151.0500031,151.9499969,149.5500031,150.3000031,319679,INDUSINDBK
2010-02-17 00:00:00+00:00,139.7099762,153.8000031,156.3000031,151.0500031,152.6000061,584525,INDUSINDBK
2010-02-18 00:00:00+00:00,139.6645508,153.75,154.8999939,151.6000061,152.1000061,607890,INDUSINDBK
2010-02-19 00:00:00+00:00,141.2996674,155.5500031,156.9499969,151.3500061,151.3500061,632934,INDUSINDBK
2010-02-22 00:00:00+00:00,140.4367218,154.6000061,160.8000031,154,158.5,342134,INDUSINDBK
2010-02-23 00:00:00+00:00,134.9409485,148.5500031,154.6000061,147.1499939,154.6000061,1220032,INDUSINDBK
2010-02-24 00:00:00+00:00,136.2126923,149.9499969,151.1000061,146.3000031,148,723246,INDUSINDBK
2010-02-25 00:00:00+00:00,133.5329437,147,151.4499969,146.1499939,151.4499969,307061,INDUSINDBK
2010-02-26 00:00:00+00:00,135.2588806,148.8999939,152.8999939,146.1499939,147,677344,INDUSINDBK
2010-03-02 00:00:00+00:00,138.5290833,152.5,155.8999939,149.6000061,150.6000061,1168171,INDUSINDBK
2010-03-03 00:00:00+00:00,149.7022552,164.8000031,167.3000031,152.6999969,153.9499969,2258245,INDUSINDBK
2010-03-04 00:00:00+00:00,144.9332428,159.5500031,168.3999939,158.1000061,166,1517950,INDUSINDBK
2010-03-05 00:00:00+00:00,145.1148834,159.75,162.9499969,157.8500061,160.0500031,857824,INDUSINDBK
2010-03-08 00:00:00+00:00,144.4335785,159,161.9499969,157.5500031,161.3999939,551828,INDUSINDBK
2010-03-09 00:00:00+00:00,141.1179962,155.3500061,161,155,161,317483,INDUSINDBK
2010-03-10 00:00:00+00:00,148.0216827,162.9499969,163.6499939,156.3500061,157,1022096,INDUSINDBK
2010-03-11 00:00:00+00:00,141.2996674,155.5500031,163.8000031,154.6000061,163.5,691260,INDUSINDBK
2010-03-12 00:00:00+00:00,147.2495728,162.1000061,162.6999969,156.5,156.75,1126288,INDUSINDBK
2010-03-15 00:00:00+00:00,145.6598969,160.3500061,161.4499969,158,160.1000061,250539,INDUSINDBK
2010-03-16 00:00:00+00:00,150.3381042,165.5,167,159,159,983978,INDUSINDBK
2010-03-17 00:00:00+00:00,152.6090698,168,169.6999969,164.6000061,167.0500031,1147875,INDUSINDBK
2010-03-18 00:00:00+00:00,154.4258575,170,171.1999969,165.25,169,1357236,INDUSINDBK
