Date,Adj Close,Close,High,Low,Open,Volume,Symbol
2008-01-01 00:00:00+00:00,6144.350098,6144.350098,6165.350098,6109.850098,6136.75,0,NIFTY
2008-01-02 00:00:00+00:00,6179.399902,6179.399902,6197,6060.850098,6144.700195,0,NIFTY
2008-01-03 00:00:00+00:00,6178.549805,6178.549805,6230.149902,6126.399902,6184.25,0,NIFTY
2008-01-04 00:00:00+00:00,6274.299805,6274.299805,6300.049805,6179.100098,6179.100098,0,NIFTY
2008-01-07 00:00:00+00:00,6279.100098,6279.100098,6289.799805,6193.350098,6271,0,NIFTY
2008-01-08 00:00:00+00:00,6287.850098,6287.850098,6357.100098,6221.600098,6282.450195,0,NIFTY
2008-01-09 00:00:00+00:00,6272,6272,6338.299805,6231.25,6287.549805,0,NIFTY
2008-01-10 00:00:00+00:00,6156.950195,6156.950195,6347,6142.899902,6278.100098,0,NIFTY
2008-01-11 00:00:00+00:00,6200.100098,6200.100098,6224.200195,6112.549805,6166.649902,0,NIFTY
2008-01-14 00:00:00+00:00,6206.799805,6206.799805,6244.149902,6172,6208.799805,0,NIFTY
2008-01-15 00:00:00+00:00,6074.25,6074.25,6260.450195,6053.299805,6226.350098,0,NIFTY
2008-01-16 00:00:00+00:00,5935.75,5935.75,6065,5825.75,6065,0,NIFTY
2008-01-17 00:00:00+00:00,5913.200195,5913.200195,6013.149902,5880.299805,5937.950195,0,NIFTY
2008-01-18 00:00:00+00:00,5705.299805,5705.299805,5908.75,5677,5907.75,0,NIFTY
2008-01-21 00:00:00+00:00,5208.799805,5208.799805,5705,4977.100098,5705,0,NIFTY
2008-01-22 00:00:00+00:00,4899.299805,4899.299805,5203.350098,4448.5,5203.350098,0,NIFTY
2008-01-23 00:00:00+00:00,5203.399902,5203.399902,5328.049805,4891.600098,4903.049805,0,NIFTY
2008-01-24 00:00:00+00:00,5033.450195,5033.450195,5357.200195,4995.799805,5208,0,NIFTY
2008-01-25 00:00:00+00:00,5383.350098,5383.350098,5399.25,5035.049805,5035.049805,0,NIFTY
2008-01-28 00:00:00+00:00,5274.100098,5274.100098,5380.950195,5071,5380.950195,0,NIFTY
2008-01-29 00:00:00+00:00,5280.799805,5280.799805,5391.600098,5225.25,5279.549805,0,NIFTY
2008-01-30 00:00:00+00:00,5167.600098,5167.600098,5314.299805,5142.25,5283.75,0,NIFTY
2008-01-31 00:00:00+00:00,5137.450195,5137.450195,5251.649902,5071.149902,5172.25,0,NIFTY
2008-02-01 00:00:00+00:00,5317.25,5317.25,5339.950195,5090.75,5140.600098,0,NIFTY
2008-02-04 00:00:00+00:00,5463.5,5463.5,5545.200195,5315.549805,5315.549805,0,NIFTY
2008-02-05 00:00:00+00:00,5483.899902,5483.899902,5500.600098,5412.950195,5463.75,0,NIFTY
2008-02-06 00:00:00+00:00,5322.549805,5322.549805,5470.399902,5257.049805,5470.399902,0,NIFTY
2008-02-07 00:00:00+00:00,5133.25,5133.25,5344.600098,5113.850098,5322.549805,0,NIFTY
2008-02-08 00:00:00+00:00,5120.350098,5120.350098,5173.850098,5034.25,5132.100098,0,NIFTY
2008-02-11 00:00:00+00:00,4857,4857,5126.399902,4803.600098,5120.549805,0,NIFTY
2008-02-12 00:00:00+00:00,4838.25,4838.25,4949.600098,4820.450195,4877.850098,0,NIFTY
2008-02-13 00:00:00+00:00,4929.450195,4929.450195,4986.549805,4836.549805,4836.549805,0,NIFTY
2008-02-14 00:00:00+00:00,5202,5202,5220.25,4944.649902,4944.649902,0,NIFTY
2008-02-15 00:00:00+00:00,5302.899902,5302.899902,5315.399902,5104.75,5202.850098,0,NIFTY
2008-02-18 00:00:00+00:00,5276.899902,5276.899902,5348.600098,5224,5304.450195,0,NIFTY
2008-02-19 00:00:00+00:00,5280.799805,5280.799805,5368.450195,5262,5278.399902,0,NIFTY
2008-02-20 00:00:00+00:00,5154.450195,5154.450195,5267.149902,5116.299805,5267.149902,0,NIFTY
2008-02-21 00:00:00+00:00,5191.799805,5191.799805,5241.350098,5120.049805,5156.899902,0,NIFTY
2008-02-22 00:00:00+00:00,5110.75,5110.75,5184,5092.799805,5183.399902,0,NIFTY
2008-02-25 00:00:00+00:00,5200.700195,5200.700195,5212.350098,5055.149902,5112.25,0,NIFTY
2008-02-26 00:00:00+00:00,5270.049805,5270.049805,5281.200195,5200.799805,5200.799805,0,NIFTY
2008-02-27 00:00:00+00:00,5268.399902,5268.399902,5368.149902,5249.75,5271.399902,0,NIFTY
2008-02-28 00:00:00+00:00,5285.100098,5285.100098,5302.850098,5227.149902,5266.350098,0,NIFTY
2008-02-29 00:00:00+00:00,5223.5,5223.5,5290.799805,5098.350098,5285,0,NIFTY
2008-03-03 00:00:00+00:00,4953,4953,5222.799805,4936.049805,5222.799805,0,NIFTY
2008-03-04 00:00:00+00:00,4864.25,4864.25,4976.700195,4812.950195,4958.549805,0,NIFTY
2008-03-05 00:00:00+00:00,4921.399902,4921.399902,4936.75,4847.25,4866.850098,0,NIFTY
2008-03-07 00:00:00+00:00,4771.600098,4771.600098,4918.299805,4672.25,4918.299805,0,NIFTY
2008-03-10 00:00:00+00:00,4800.399902,4800.399902,4814.950195,4620.5,4767.799805,0,NIFTY
2008-03-11 00:00:00+00:00,4865.899902,4865.899902,4888.5,4732.850098,4796.299805,0,NIFTY
2008-03-12 00:00:00+00:00,4872,4872,5019.200195,4854.75,4869.75,0,NIFTY
2008-03-13 00:00:00+00:00,4623.600098,4623.600098,4868.799805,4580.149902,4868.700195,0,NIFTY
2008-03-14 00:00:00+00:00,4745.799805,4745.799805,4758.950195,4607.549805,4623.799805,0,NIFTY
2008-03-17 00:00:00+00:00,4503.100098,4503.100098,4745.450195,4482.100098,4745.450195,0,NIFTY
2008-03-18 00:00:00+00:00,4533,4533,4617.950195,4468.549805,4519.899902,0,NIFTY
2008-03-19 00:00:00+00:00,4573.950195,4573.950195,4718.399902,4533.899902,4534.75,0,NIFTY
2008-03-24 00:00:00+00:00,4609.850098,4609.850098,4649.450195,4539.799805,4576.799805,0,NIFTY
2008-03-25 00:00:00+00:00,4877.5,4877.5,4896.799805,4616.799805,4616.799805,0,NIFTY
2008-03-26 00:00:00+00:00,4828.850098,4828.850098,4912.299805,4808.649902,4878.700195,0,NIFTY
2008-03-27 00:00:00+00:00,4830.25,4830.25,4863.75,4769.600098,4828.799805,0,NIFTY
2008-03-28 00:00:00+00:00,4942,4942,4970.799805,4796.350098,4830,0,NIFTY
2008-03-31 00:00:00+00:00,4734.5,4734.5,4947,4703.850098,4942.149902,0,NIFTY
2008-04-01 00:00:00+00:00,4739.549805,4739.549805,4800.75,4628.75,4735.649902,0,NIFTY
2008-04-02 00:00:00+00:00,4754.200195,4754.200195,4916.75,4741.399902,4741.399902,0,NIFTY
2008-04-03 00:00:00+00:00,4771.600098,4771.600098,4833.25,4738.200195,4753.899902,0,NIFTY
2008-04-04 00:00:00+00:00,4647,4647,4791.700195,4632.700195,4766.700195,0,NIFTY
2008-04-07 00:00:00+00:00,4761.200195,4761.200195,4798.549805,4628.799805,4631.350098,0,NIFTY
