Date,Adj Close,Close,High,Low,Open,Volume,Symbol
2010-01-04 00:00:00+00:00,439.964447,527.0499878,527.0499878,527.0499878,527.0499878,0,NESTLEIND
2010-01-05 00:00:00+00:00,439.964447,527.0499878,527.0499878,527.0499878,527.0499878,0,NESTLEIND
2010-01-06 00:00:00+00:00,439.964447,527.0499878,527.0499878,527.0499878,527.0499878,0,NESTLEIND
2010-01-07 00:00:00+00:00,439.964447,527.0499878,527.0499878,527.0499878,527.0499878,0,NESTLEIND
2010-01-08 00:00:00+00:00,208.2454071,249.4649963,257.5,247.5200043,255.5,6480,NESTLEIND
2010-01-11 00:00:00+00:00,208.6043549,249.8950043,251.5,240,240.1000061,8250,NESTLEIND
2010-01-12 00:00:00+00:00,208.9299774,250.2850037,254,247.1349945,254,683460,NESTLEIND
2010-01-13 00:00:00+00:00,207.8029938,248.9349976,254,248,250.2850037,10320,NESTLEIND
2010-01-14 00:00:00+00:00,214.3851166,256.8200073,259.5,247,253.5,3303610,NESTLEIND
2010-01-15 00:00:00+00:00,209.818924,251.3500061,258,250.0050049,258,82290,NESTLEIND
2010-01-18 00:00:00+00:00,211.7097015,253.6150055,257.3999939,251.3999939,257.3999939,8830,NESTLEIND
2010-01-19 00:00:00+00:00,213.3750153,255.6100006,257,253.1000061,256.7000122,6880,NESTLEIND
2010-01-20 00:00:00+00:00,212.2397614,254.25,257.5,254,255,6410,NESTLEIND
2010-01-21 00:00:00+00:00,210.8791504,252.6199951,256.8999939,249.9900055,253.9900055,8310,NESTLEIND
2010-01-22 00:00:00+00:00,211.1128387,252.8999939,253,247.8000031,250,6810,NESTLEIND
2010-01-25 00:00:00+00:00,210.5493774,252.2250061,266.5350037,251,266.5350037,19550,NESTLEIND
2010-01-27 00:00:00+00:00,214.2766113,256.6900024,257.4899902,249.8600006,257,53020,NESTLEIND
2010-01-28 00:00:00+00:00,215.9419861,258.6849976,261,253.5500031,256.7999878,10480,NESTLEIND
2010-01-29 00:00:00+00:00,211.4467163,253.3000031,258,252.6000061,252.6000061,7870,NESTLEIND
2010-02-01 00:00:00+00:00,211.3799744,253.2200012,259.9949951,251.5099945,259.9949951,6140,NESTLEIND
2010-02-02 00:00:00+00:00,213.7089539,256.0100098,259.9100037,254,259.9100037,8310,NESTLEIND
2010-02-03 00:00:00+00:00,214.0845337,256.4599915,260,255.6000061,258.7999878,86810,NESTLEIND
2010-02-04 00:00:00+00:00,214.3975983,256.8349915,258.3800049,254.8000031,254.8000031,4420,NESTLEIND
2010-02-05 00:00:00+00:00,212.7907562,254.9100037,258.2000122,244.1999969,258.2000122,16510,NESTLEIND
2010-02-08 00:00:00+00:00,220.8378601,264.5499878,267.2000122,257,257,81810,NESTLEIND
2010-02-09 00:00:00+00:00,233.1172791,279.2600098,282.3999939,260.0100098,260.0100098,88610,NESTLEIND
2010-02-10 00:00:00+00:00,229.5779419,275.019989,324.3999939,273.8599854,280.2000122,446990,NESTLEIND
2010-02-11 00:00:00+00:00,228.4968719,273.7250061,281.8999939,272.6099854,281.8999939,318810,NESTLEIND
2010-02-15 00:00:00+00:00,226.9943695,271.9249878,281.5,261.3999939,281.5,45040,NESTLEIND
2010-02-16 00:00:00+00:00,225.5417786,270.1849976,281.4700012,269.7049866,279.2000122,61200,NESTLEIND
2010-02-17 00:00:00+00:00,224.4483185,268.875,274.2999878,268.1400146,270.5150146,99810,NESTLEIND
2010-02-18 00:00:00+00:00,221.3387909,265.1499939,271,264.5,268.875,22030,NESTLEIND
2010-02-19 00:00:00+00:00,220.3912506,264.0150146,268.5,262.7999878,265,74950,NESTLEIND
2010-02-22 00:00:00+00:00,215.7791901,258.4899902,264.8999939,256,262.5050049,148200,NESTLEIND
2010-02-23 00:00:00+00:00,213.0495453,255.2200012,259,255.1000061,257,30700,NESTLEIND
2010-02-24 00:00:00+00:00,214.9277496,257.4700012,259,254,255,99180,NESTLEIND
2010-02-25 00:00:00+00:00,213.6672058,255.9600067,260,255.2100067,258,42640,NESTLEIND
2010-02-26 00:00:00+00:00,219.2852173,262.6900024,265,252.6100006,252.6100006,42390,NESTLEIND
2010-03-02 00:00:00+00:00,219.1642303,262.5450134,264.5,260,262,33430,NESTLEIND
2010-03-03 00:00:00+00:00,219.4730835,262.9150085,264,260.4649963,263,23390,NESTLEIND
2010-03-04 00:00:00+00:00,219.8778381,263.3999939,265,261,261,47960,NESTLEIND
2010-03-05 00:00:00+00:00,225.4833374,270.1149902,271.980011,267,267,143920,NESTLEIND
2010-03-08 00:00:00+00:00,227.5535736,272.5950012,275,269.2250061,273,97670,NESTLEIND
2010-03-09 00:00:00+00:00,229.1604919,274.519989,275.1000061,270,270,42120,NESTLEIND
2010-03-10 00:00:00+00:00,228.7222595,273.9949951,276.5,272.1000061,272.1000061,83860,NESTLEIND
2010-03-11 00:00:00+00:00,228.1212616,273.2749939,274,269.5,272.5,277120,NESTLEIND
2010-03-12 00:00:00+00:00,226.6771088,271.5450134,282.5,269,282.5,198720,NESTLEIND
2010-03-15 00:00:00+00:00,229.127121,274.480011,275.7000122,270.4100037,273.1000061,29800,NESTLEIND
2010-03-16 00:00:00+00:00,223.0792542,267.2349854,273.6000061,266,273.5599976,92160,NESTLEIND
2010-03-17 00:00:00+00:00,223.5968018,267.855011,269,265.5,269,21490,NESTLEIND
2010-03-18 00:00:00+00:00,222.7203064,266.8049927,269.7999878,265.8049927,269.7999878,64850,NESTLEIND
2010-03-19 00:00:00+00:00,220.9088593,264.6350098,268.9750061,262.1000061,268.9750061,111670,NESTLEIND
2010-03-22 00:00:00+00:00,219.9363708,263.4700012,265.980011,261.1499939,265,218850,NESTLEIND
2010-03-23 00:00:00+00:00,221.5349121,265.3850098,266.1000061,263.5,264.1199951,29900,NESTLEIND
2010-03-25 00:00:00+00:00,221.0758362,264.8349915,266.5,261,266,80680,NESTLEIND
2010-03-26 00:00:00+00:00,224.335556,268.7399902,271.9949951,263.2099915,263.2099915,229000,NESTLEIND
2010-03-29 00:00:00+00:00,226.4642334,271.2900085,280,264.2999878,267,77300,NESTLEIND
2010-03-30 00:00:00+00:00,222.9372711,267.0650024,273,264.3099976,271.1000061,92350,NESTLEIND
2010-03-31 00:00:00+00:00,222.9331818,267.0599976,275.1000061,260,275,169640,NESTLEIND
2010-04-01 00:00:00+00:00,226.1803741,270.9500122,273.5,263.5,266.5650024,203340,NESTLEIND
2010-04-05 00:00:00+00:00,226.9818268,271.9100037,275,269.9100037,275,130770,NESTLEIND
