Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,102.3602066,111.3499985,112.5599976,110.6999969,111,1079040
2010-01-05 00:00:00+00:00,105.8901672,115.1900024,116.6999969,111.8000031,111.9599991,2112500
2010-01-06 00:00:00+00:00,111.1391754,120.9000015,122,113.0699997,115.8000031,5761450
2010-01-07 00:00:00+00:00,109.824646,119.4700012,123.2099991,119,121.4899979,3174260
2010-01-08 00:00:00+00:00,109.6959229,119.3300018,121.6999969,118.6399994,119.4000015,1220560
2010-01-11 00:00:00+00:00,113.4281616,123.3899994,126.9800034,119.5999985,120.5999985,5512030
2010-01-12 00:00:00+00:00,115.1287918,125.2399979,128.3999939,123.2699966,124.4000015,4366170
2010-01-13 00:00:00+00:00,119.4769363,129.9700012,130.9700012,105,123.0500031,4475290
2010-01-14 00:00:00+00:00,117.5188675,127.8399963,132.5500031,127.25,131.4799957,3020830
2010-01-15 00:00:00+00:00,119.3298416,129.8099976,130.3999939,127.0699997,128.6000061,2396195
2010-01-18 00:00:00+00:00,119.3298416,129.8099976,131.6000061,128.3099976,128.3099976,2031560
2010-01-19 00:00:00+00:00,116.2502975,126.4599991,130.7599945,126,130.3999939,769910
2010-01-20 00:00:00+00:00,114.6599731,124.7300034,129,124.1200027,127.0800018,843480
2010-01-21 00:00:00+00:00,114.6139984,124.6800003,128.9799957,122.5999985,124.3000031,1712055
2010-01-22 00:00:00+00:00,113.1431808,123.0800018,124.4000015,117.5999985,122.2200012,2194355
2010-01-25 00:00:00+00:00,110.5600281,120.2699966,124,119.6999969,123.8000031,652660
2010-01-27 00:00:00+00:00,107.6184006,117.0699997,122.7399979,116.0199966,120.3600006,999240
2010-01-28 00:00:00+00:00,107.7746582,117.2399979,120.5,115,119.0299988,811325
2010-01-29 00:00:00+00:00,109.4293518,119.0400009,120.8099976,115,116.1999969,2203015
2010-02-01 00:00:00+00:00,112.8858032,122.8000031,123.4400024,118.0199966,119,642590
2010-02-02 00:00:00+00:00,114.9449539,125.0400009,126.4000015,123.0400009,124.4000015,1877745
2010-02-03 00:00:00+00:00,120.3996201,130.4499969,130.9600067,125,126.4000015,2264310
2010-02-04 00:00:00+00:00,119.3751297,129.3399963,131.5500031,127.1100006,129.0500031,1960870
2010-02-05 00:00:00+00:00,117.2430954,127.0299988,128.9799957,122.5,123.1100006,2513800
2010-02-08 00:00:00+00:00,119.8181458,129.8200073,130.5899963,127.8000031,130,892700
2010-02-09 00:00:00+00:00,118.1291275,127.9899979,129.8000031,127.1999969,129.8000031,676620
2010-02-10 00:00:00+00:00,118.1937332,128.0599976,129.6199951,127.5,127.8000031,697880
2010-02-11 00:00:00+00:00,118.1291275,127.9899979,128.9600067,127,128.3999939,615600
2010-02-15 00:00:00+00:00,117.6584244,127.4800034,130.3999939,125.8000031,125.8000031,925995
2010-02-16 00:00:00+00:00,117.2523499,127.0400009,128.2799988,126.6999969,128.2799988,479900
2010-02-17 00:00:00+00:00,125.9096832,136.4199982,139.3500061,128.3000031,131.1999969,5685510
2010-02-18 00:00:00+00:00,123.3346405,133.6300049,137.8000031,130,130,7141980
2010-02-19 00:00:00+00:00,120.9626083,131.0599976,135.9799957,130.1000061,132.8000031,3058535
2010-02-22 00:00:00+00:00,119.6243286,129.6100006,133.3399963,128.6799927,131.9799957,1931730
2010-02-23 00:00:00+00:00,119.8089142,129.8099976,131.2400055,128.6000061,128.6000061,2220280
2010-02-24 00:00:00+00:00,118.0829849,127.9400024,131.1000061,127.1999969,129.1999969,1295395
2010-02-25 00:00:00+00:00,123.2607803,133.5500031,134.5399933,128.4299927,128.4299927,6303470
